Key;Type;Desc;English;Spanish;Italian;;;
Quote66;Text;Description (optional);First a person learns only in limited environments. When he becomes perfect in perfection of his own confidence of limited environments, then he can tackle unlimited environments. That is why individual consciousness will go to group consciousness. |Yogi Bhajan|27099;Primero, una persona aprende unicamente en entornos limitados. Cuando esta persona logra la perfección de su propia confianza en entornos limitados, entonces podrá abordar entornos ilimitados. Es por eso que la consciencia individual llegará hasta la consciencia grupal.|Yogi Bhajan|27099;In primo luogo una persona impara solo in ambienti limitati. Quando diventa perfetta nella perfezione della propria sicurezza di ambienti limitati, allora potrà affrontare ambienti illimitati. Ecco perché la coscienza individuale passerà alla coscienza di gruppo. |Yogi Bhajan|27099;;;
Quote67;Text;Description (optional);You are the leaders of tomorrow. You have to walk with your own consciousness, creativeness, clarity, purity, sympathy, service, sharing, caring. You have to. You have to have endurance and patience. |Yogi Bhajan|37522;Ustedes son los líderes del mañana. Deben de caminar con su propia consciencia, creatividad, claridad, pureza, simpatía, servicio, compartir y esmero. Tienen que hacerlo. Tienen que tener paciencia y tolerancia.  |Yogi Bhajan|37522;Voi siete i leader di domani. Dovete camminare con la vostra propria coscienza, creatività, chiarezza, purezza, empatia, servizio, condivisione e cura. Dovete farlo. Dovete avere resistenza e pazienza. |Yogi Bhajan|37522;;;
Quote68;Text;Description (optional);Now the question for every intelligent human being under this sun on the Earth is that if we want to survive, we have to learn to love peace. The tragedy is we have not yet learned to love each other. It’s very difficult. We are afraid of each other. |Yogi Bhajan|32640;Ahora, la cuestión para todo ser humano inteligente bajo este sol y sobre esta Tierra es que si queremos sobrevivir, tenemos que aprender a amar la paz. El infortunio es que no hemos aprendido a amarnos los unos a los otros. Es muy difícil. Tenemos miedo el uno del otro. |Yogi Bhajan|32640;Ora la domanda per ogni essere umano intelligente sotto questo sole sulla Terra è che se vogliamo sopravvivere, dobbiamo imparare ad amare la pace. La tragedia è che non abbiamo ancora imparato ad amarci gli uni con gli altri. È molto difficile. Abbiamo paura gli uni degli altri. |Yogi Bhajan|32640;;;
Quote69;Text;Description (optional);"Love is not enough; intelligence is not enough; powerful strength is not enough. You may put everything on one side of the scale, but if you are missing gratitude, you shall lose. |Yogi Bhajan|30860";"No basta con el amor; no basta con la inteligencia; una fuerza poderosa no es suficiente. Puedes colocarlo todo de un lado de la balanza, pero si no hay gratitud, perderás. |Yogi Bhajan|30860";"L'amore non è sufficiente; l'intelligenza non è sufficiente; la forza potente non è sufficiente. Potete mettere tutto su un lato della bilancia, ma se vi manca la gratitudine, perderete. |Yogi Bhajan|30860";;;
Quote70;Text;Description (optional);Become a teacher and see how things come to you. You are a vehicle. In you there is the purity and piety of a Teacher that you must protect and serve. Then out of your word will come humans who will be invincible, blessed, bountiful, beautiful, and in bliss. You shall rule time and space, and your generations will be happy, healthy, and holy.|Yogi Bhajan|722/96;Conviértete en un maestro y observa como las cosas vienen hacia ti. Eres un vehículo. Dentro de ti viven la piedad y la pureza de un Maestro que debes de proteger y servir. Entonces de tu palabra surgirán seres humanos invencibles, benditos, generosos, hermosos y dichosos. Reinarás sobre el tiempo y el espacio, y tus generaciones serán felices, saludables y sagradas.|Yogi Bhajan|722/96;Diventate un insegnante e vedete come le cose vengono a voi. Voi siete un veicolo. In voi c'è la purezza e la pietà di un Insegnante, che dovete proteggere e servire. Quindi dalla vostra parola verranno esseri umani che saranno invincibili, benedetti, generosi, belli e nella beatitudine. Governerete il tempo e lo spazio, e le vostre generazioni saranno felici, sane e sante.|Yogi Bhajan|722/96;;;
Quote71;Text;Description (optional);Just open your eyes, train your mind, and do your actions. Your actions will tell you how near or far you are from God. Be direct and face up to your own Infinite vastness. Have vastness as an attitude. The Mind|Yogi Bhajan|The Mind;Solo abre tus ojos, entrena a tu mente, y realiza tus acciones. Tus acciones te dirán cuan cerca o lejos estas de Dios. Se directo y afronta tu propia e infinita inmensidad. Haz de la inmensidad tu actitud. La Mente|Yogi Bhajan|The Mind;"Semplicemente aprite gli occhi, allenate la mente e attuate le vostre azioni. Le vostre azioni vi diranno quanto siete vicini o lontani da Dio. Siate diretti e affrontate la vostra vastità infinita. Sia la vastità il vostro atteggiamento. - Libro ""La Mente""|Yogi Bhajan|The Mind";;;
Quote72;Text;Description (optional);"In our life, our noncommittal commitment gives us a kind of fake idea that there’s something better that we can grab tomorrow. It’s a grabbing attitude; not a building attitude. Commitment will build you slowly, surely, gracefully and wonderfully; but grabbing will never guarantee anything.|Yogi Bhajan|30144";"En nuestra vida, nuestra falta de compromiso hacia el compromiso nos da una idea falsa de que mañana podremos apropiarnos de algo mejor. Es una actitud de apropiación; no es una actitud de construcción. El compromiso te construirá lenta, segura, graciosa y maravillosamente; pero el apropiarte nunca te garantizará nada.|Yogi Bhajan|30144";"Nella nostra vita, il nostro impegno senza impegno ci dà una specie di falsa idea che c'è qualcosa di meglio che possiamo prendere domani. È un atteggiamento orientato al voler cogliere qualcosa; non è un atteggiamento volto al voler costruire qualcosa. L'impegno vi costruirà in maniera lenta, sicura, con garbo e meraviglia; mentre il voler cogliere non garantirà mai nulla. |Yogi Bhajan|30144";;;
Quote73;Text;Description (optional);"A relaxed mind is a creative mind and a creative mind is a relaxed mind; and only a relaxed mind can become a one-pointed mind; and a one-pointed mind is the most wonderful mind. It is most powerful; it can do anything. |Yogi Bhajan|35273";"Una mente relajada es una mente creativa, y una mente creativa es una mente relajada; y solamente una mente relajada puede convertirse en una mente enfocada; y una mente enfocada es una mente maravillosa. Es muy poderosa, puede realizar cualquier cosa. |Yogi Bhajan|35273";"Una mente rilassata è una mente creativa e una mente creativa è una mente rilassata; e solo una mente rilassata può diventare una mente concentrata; e una mente concentrata è la mente più meravigliosa. È la più potente, può fare ogni cosa. |Yogi Bhajan|35273";;;
Quote74;Text;Description (optional);If a human feels, meditatively, that they are forever or tomorrow is with them and they can do it tomorrow, that human has no source of happiness. Your life has to live through love and love is when breath is in and breath is out, and it is continuous. If breath goes out and it does not come in again, that’s the end of you. It can happen for any reason and for anything. So don’t carry that heaviness that you are permanent. I never believe that I’m permanent. You should never believe you are permanent. |Yogi Bhajan|31966;Si un ser humano siente, meditativamente, que vivira por siempre y que puede hacerlo todo mañana, ese ser no tendrá ninguna fuente de felicidad. Tu vida debe vivir a través del amor y el amor es cuando  cada respiración entra y cuando cada respiración sale, y es continuo. Si la respiración sale y no vuelve a entrar, ese será tu fin. Puede suceder por cualquier razón, por cualquier cosa. Entonces no cargues esa pesadez de pensar que eres permanente. Yo nunca pienso que soy permanente. Nunca debes de creer que eres permanente. |Yogi Bhajan|31966;Se un essere umano sente, in maniera meditativa, di essere per sempre o che il domani è con sé e che può farlo domani, quell'essere umano non ha nessuna fonte di felicità. La vostra vita deve vivere attraverso l'amore e l'amore è quando si inspira e quando si espira ed è continuo. Se il respiro si spegne e non c'è più inspirazione, quella è la vostra fine. Può succedere per qualsiasi motivo e per nulla. Quindi non portate con voi quella pesantezza che vi fa credere di essere permanenti. Non credo mai di essere permanente. Non dovreste mai credere di essere permanenti. |Yogi Bhajan|31966;;;
Quote75;Text;Description (optional);Your beauty is not in your money, your jewels or your household. Your power is in your innocence.|Yogi Bhajan|36214;Tu belleza no se encuentra en tu dinero, en tus joyas o en tu casa. Tu poder reside en tu inocencia. |Yogi Bhajan|36214;La vostra bellezza non è nei vostri soldi, gioielli o nella vostra famiglia. La vostra potenza è nella vostra innocenza. |Yogi Bhajan|36214;;;
Quote76;Text;Description (optional);Each human body has a chance to realize infinity. God is infinity. Anybody who puts any limit on God is not understanding the word, ’God’ at all. If you do not understand totality, you do not understand infinity. |Yogi Bhajan|34715;Cada ser humano tiene la oportunidad de comprender el infinito. Dios es infinito. Quien limite a Dios no ha entendido nada de la palabra «Dios». Si no entiendes la totalidad, no entiendes la infinidad. |Yogi Bhajan|34715;"Ogni corpo umano ha una possibilità di realizzare l'infinito. Dio è infinito. Chiunque ponga alcun limite a Dio non capisce affatto la parola ""Dio"". Se non capite la totalità, non capite l'infinito. |Yogi Bhajan|34715";;;
Quote77;Text;Description (optional);In this human life, prayer is the power. One who can pray can be very powerful, because prayer makes all the elements serve that person. The moment you become a prayerful person, the fear of the Unknown is gone and love of the Unknown awakens. Prayer is the intunement of the mind into the Higher Consciousness and the Unknown. ...When you are intuned with the Unknown, the known is very peaceful. |Yogi Bhajan|30147;En esta vida humana, el poder es la oración. Aquel que sabe rezar puede ser muy poderoso, porque la oración hace que todos los elementos estén al servicio de la persona, el miedo a lo Desconocido desaparece y surge el amor hacia lo Desconocido. La oración es lo que sintoniza a la mente con la Consciencia mas elevada y con lo Desconocido... Cuando estas sintonizado con lo Desconocido, lo conocido es muy apacible.|Yogi Bhajan|30147;In questa vita umana, la preghiera è il potere. Chi sa pregare può essere molto potente, perché la preghiera fa sì che tutti gli elementi servano quella persona. Nel momento in cui diventate una persona di preghiera, la paura dell'Ignoto scompare e l'amore per l'Ignoto si risveglia. La preghiera è la sintonizzazione della mente sulla Coscienza Superiore e sull'Ignoto. ...Quando siete in sintonia con l'Ignoto, il conosciuto è molto sereno. |Yogi Bhajan|30147;;;
Quote78;Text;Description (optional);For prosperity, it is your openness, it is your smile and it is your greeting which can bring the world to you. |Yogi Bhajan|35545;Para lograr la prosperidad, son tu apertura, tu sonrisa y tu saludo que traerán el mundo hacia ti. |Yogi Bhajan|35545;Perché la prosperità, è la vostra apertura, è il vostro sorriso ed è il messaggio di benvenuto che può portare il mondo a voi. |Yogi Bhajan|35545;;;
Quote79;Text;Description (optional);Not only are you powerful, you are prestigious. Not only are you prestigious, you are beautiful. Not only are you beautiful, you are consciousness. Not only are you consciousness, you are the spirit. Not only are you the spirit, you are the security of the future, the most bountiful beauty ever God created. Men call it ‘woman.’ |Yogi Bhajan|30886;No solamente son poderosas, son prestigiosas. No solamente son prestigiosas, son hermosas. No solamente son hermosas, son consciencia. No solamente son consciencia, son el espíritu. No solamente son el espíritu, son la seguridad del futuro, la mas generosa belleza que jamas Dios creo. Los hombres la llaman «mujer».|Yogi Bhajan|30886;"Non solo siete potenti, voi siete prestigiose. Non solo siete prestigiose, voi siete belle. Non solo siete belle, voi siete consapevolezza. Non solo siete consapevolezza, voi siete lo spirito. Non solo siete lo spirito, voi siete la sicurezza del futuro, la bellezza più generosa che Dio abbia mai creato. Gli uomini la chiamano ""donna"".|Yogi Bhajan|30886";;;
Quote80;Text;Description (optional);There is only one problem: You do not trust your powers. There is no difference between you and God. Count your blessings. Be proud of yourself. Make your children, friends and neighbors proud of you. Let your touch be the Master’s Touch. Serve the Age of Aquarius. Keep up and God will keep you up. Trust it. Stop looking down at yourself. Feel God within. There is no God outside of you. |Yogi Bhajan|36700;Hay un solo problema: No confías en tus poderes. No existe diferencia entre tu y Dios. Cuenta tus bendiciones. Enorgullécete de ti mismo. Haz que tus hijos, amigos y vecinos se sientan orgullosos de ti. Deja que tu tacto sea el Tacto del Maestro. Ponte al servicio de la Era de Acuario. Sostente y Dios te sostendrá. Confía en eso. Deja de menospreciarte. Siéntete bien por dentro. No existe Dios fuera de ti.|Yogi Bhajan|36700;C'è solo un problema: Voi non comprendete i vostri poteri. Non c’è differenza tra voi e Dio. Contate le vostre benedizioni. Siate orgogliosi di voi. Rendete i vostri figli, amici e vicini orgogliosi di voi. Lasciate che il vostro tocco sia il tocco del Maestro. Servite l’Era dell’Acquario. Sostenetevi e Dio vi sosterrà. Abbiate fiducia. Smettete di guardare a voi stessi in modo sprezzante. Sentire Dio dentro di voi. Non c’è alcun Dio al di fuori di voi. |Yogi Bhajan|36700;;;
Quote81;Text;Description (optional);We have totally forgotten that this Universe is the outcome of vibration. This Universe is not communication. This Universe is not money. This Universe is not love, it is not sex, it is not beauty, it is not even God. That one line is true: “In the beginning there was the Word, Word was with God, and Word was God.” That’s all it is about. What is a word? Creative vibration. |Yogi Bhajan|30881;Hemos olvidado por completo que este Universo es el resultado de la vibración. Este Universo no es comunicación. Este Universo no es dinero. Este Universo no es amor, no es sexo, no es belleza, ni siquiera es Dios. Esta frase es verdad: «Al principio, fue la Palabra, la Palabra era con Dios, y la Palabra era Dios.» De eso se trata todo. ¿Que es una palabra? Vibración Creativa. |Yogi Bhajan|30881;"Noi abbiamo completamente dimenticato che questo Universo è il risultato di vibrazioni. Questo Universo non è la comunicazione. Questo Universo non è il denaro. Questo universo non è l'amore, non è il sesso, non è la bellezza, non è nemmeno Dio. Questa frase è vera: ""In principio era la Parola, la Parola era con Dio e la Parola era Dio"". È tutto lì. Cos’è una parola? Vibrazione creativa. |Yogi Bhajan|30881";;;
Quote82;Text;Description (optional);Harmonious communication has nothing to do with what you feel, what you know, and what you want. In order to achieve harmonious and conscious communication, first you have to understand the other person. Then whatever knowledge you have about the other person and whatever knowledge you want to communicate with the other person has to be presented in a very loving manner and not with any intent or means to figure out any offensiveness. -KRI Conscious Communication Manual|Yogi Bhajan|;Una comunicación armoniosa no tiene nada que ver con lo que sientes, con lo que sabes, y con lo que quieres. Para lograr una comunicación armoniosa y consciente, debes de comprender primero a la otra persona. Entonces, cualquier conocimiento que poseas acerca de la persona y cualquier información que desees comunicar con ella deberás presentársela de manera muy amorosa y con ninguna intención ni procedimiento que demuestren ofensa alguna. - KRI Manual de Comunicación Consciente.|Yogi Bhajan|;La comunicazione armonica non ha nulla a che fare con quello che sentite, con ciò che sapete e con ciò che desiderate. Al fine di ottenere la comunicazione armonica e consapevole, in primo luogo è necessario che comprendiate l'altra persona. A quel punto qualunque conoscenza abbiate dell'altra persona e qualunque conoscenza vogliate comunicare all'altra persona deve essere presentata in maniera molto amorevole e senza nessun intento o mezzo che mostri alcuna offensività. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|;;;
Quote83;Text;Description (optional);There is no good and bad. There is no guilt, there is no sin. There is no wrong, there is no right. There is only our own insanity or our own meditative concentration. |Yogi Bhajan|37435;No hay bueno ni malo. No hay culpa, no hay pecado. No hay incorrecto, no hay correcto. Solamente existe nuestra propia locura o nuestra propia concentración meditativa.|Yogi Bhajan|37435;Non c'è bene e male. Non c’è colpa, non c'è peccato. Non c’è sbagliato, non c'è giusto. C'è solo la nostra follia o la nostra concentrazione meditativa. |Yogi Bhajan|37435;;;
Quote84;Text;Description (optional);Everything is thought—God is thought, Earth is thought, names are thought, everything is just thought. But demonstratively entertain no thought, ‘I am not, all is zero.’ Give yourself a thoughtless grace and it will be a very good bargain when the subconscious doesn’t act, and the unconscious gives you intuition. Automatically your job will be done. That’s the end of poverty and the beginning of prosperity. |Yogi Bhajan|34649;Todo es un pensamiento – Dios es pensamiento, la Tierra es un pensamiento, los nombres son pensamientos, todo son solamente pensamientos. Pero entretén demostrativamente en ti el no-pensamiento, «yo no soy, todo es cero.» Concédete a ti mismo la gracia sin pensamiento y habras logrado un buen arreglo cuando el subconsciente no actúe, y el inconsciente te brinde intuición. Automáticamente tu trabajo quedará realizado. Ese es el fin de la pobreza y el principio de la abundancia.|Yogi Bhajan|34649;"Tutto è pensato: Dio è pensato, la Terra è pensata, i nomi sono pensati, tutto è solo pensato. Ma visibilmente non avete nessun pensiero, ""io non sono, tutto è zero"". Concedetevi la grazia di non pensare e sarà un ottimo affare quando il subconscio non agisce e l'inconscio vi dà l'intuizione. Automaticamente il vostro lavoro sarà fatto. Questa è la fine della povertà e l'inizio della prosperità. |Yogi Bhajan|34649";;;
Quote85;Text;Description (optional);The reality is there is nobody who can limit you. There is nobody who can damage you. Your existence is not bound in time and space. You always have a choice of how you project your mind. The Mind|Yogi Bhajan|The Mind;La realidad es que no hay nadie que pueda limitarte. No hay nadie que pueda lastimarte. Tu existencia no esta confinada al tiempo y al espacio. Siempre puedes elegir como proyectar tu mente. La Mente|Yogi Bhajan|The Mind;"La realtà è che non c'è nessuno che possa limitarvi. Non c'è nessuno che possa danneggiarvi. La vostra esistenza non è vincolata nel tempo e nello spazio. Voi avete sempre una scelta su come proiettare la vostra mente. - Libro ""La Mente""|Yogi Bhajan|The Mind";;;
Quote86;Text;Description (optional);The only carefree being is that person who is free from negativity. He is liberated. It is a Cosmic Law that such a person is never short of anything. A carefree man doesn’t know any misery. He may be humble, but that doesn’t mean he is miserable. Ever wise, he sails through time undisturbed. He does not need any correction by the hands of time. His smooth behavior and calmness of personality are the signs that he is a liberated being. In a nutshell, he is the happiest person ever on the Earth. |Yogi Bhajan|1/1969;El único ser despreocupado es aquel que esta libre de toda negatividad. Esta liberado. La Ley Cósmica dicta que a dicha persona nunca le faltara nada. Un hombre despreocupado no conoce la miseria. Podrá ser humilde, pero eso no implica que sea miserable. Siempre sabio, navega imperturbable a través del tiempo. No necesita que las manos del tiempo lo corrijan. Su comportamiento suave y su personalidad tranquila  son signos de que es un ser liberado. En pocas palabras, es la persona mas feliz sobre la faz de la tierra. |Yogi Bhajan|1/1969;L'unico essere spensierato è la persona libera da negatività. È liberata. Si tratta di una Legge Cosmica che una persona così non è mai a corto di nulla. Un essere umano spensierato non conosce tristezza. Può essere umile, ma questo non significa che sia infelice. Sempre saggio, naviga indisturbato attraverso il tempo. Non ha bisogno di alcuna correzione dalle mani del tempo. Il suo comportamento armonioso e la calma della personalità sono i segni che egli è un essere liberato. In poche parole, è la persona più felice che sia mai stata sulla Terra.|Yogi Bhajan|1/1969;;;
Quote87;Text;Description (optional);Love is seva. -It’s offering yourself and helping to increase the vitality, the surroundings of somebody, giving somebody grace. |Yogi Bhajan|34890;El amor es seva. - Es ofrecerte a ti mismo y ayudar a incrementar la vitalidad, el entorno de una persona, ofreciéndole así la gracia.|Yogi Bhajan|34890;L'amore è seva. - È offrire voi stessi e contribuire ad aumentare la vitalità, l'ambiente circostante di qualcuno, dare grazia a qualcuno.|Yogi Bhajan|34890;;;
Quote88;Text;Description (optional);It is good to say, “Hello, how are you? Good morning, my Creator. Thank you very much.” It is called gratitude. Attitude of gratitude brings you opportunities beyond your concept. And when the prayer becomes the vibration of the soul, mind, and self, we can create a miracle. |Yogi Bhajan|32850;Es bueno decir, «Hola ¿Como estas?  Buenos días, mi Creador. Muchas gracias.» A esto se le llama gratitud. Una actitud de gratitud te brida oportunidades mas allá de lo que puedes concebir. Y cuando la oración se vuelve la vibración del alma, de la mente y del Ser, podemos crear milagros.|Yogi Bhajan|32850;"Va bene dire, ""Ciao, come stai? Buongiorno, mio Creatore. Grazie mille"". Si chiama gratitudine. L'attitudine di gratitudine vi porta opportunità al di là della vostra immaginazione. E quando la preghiera diventa la vibrazione dell’anima, della mente e del sé, noi possiamo creare un miracolo.|Yogi Bhajan|32850";;;
Quote89;Text;Description (optional);The totality of God which we know, the oneness of God which we understand, the greatness of God which we experience - we have to become part of. That is what Akal means - deathlessness.|Yogi Bhajan|32787;La totalidad que conocemos de Dios, la unicidad de Dios que comprendemos, la grandeza de Dios que experimentamos – de eso tenemos que volvernos parte. Ese es el significado de Akal: inmortal       |Yogi Bhajan|32787;Dobbiamo diventare parte della totalità di Dio che conosciamo, dell'unicità di Dio che comprendiamo, della grandezza di Dio di cui facciamo esperienza. Questo è ciò che significa Akal - immortalità.|Yogi Bhajan|32787;;;
Quote90;Text;Description (optional);The way one talks, walks, sees, deals, serves, and gets served is a total sum of one’s living behavior. There is a tremendous flow of spirit in a noble person. A noble person is a very powerful individual.|Yogi Bhajan|28673;La manera en que uno habla, ve, interactúa, sirve y se deja servir es la suma total de nuestro comportamiento ante la vida. Existe un flujo tremendo de espíritu dentro de una persona noble. Una persona noble es un individuo muy poderoso. |Yogi Bhajan|28673;Il modo in cui si parla, si passeggia, si vede, si tratta, si serve e si è serviti è la somma totale del proprio comportamento vivente. C'è un enorme flusso spirituale in una persona nobile. Una persona nobile è un individuo molto potente. |Yogi Bhajan|28673;;;
Quote91;Text;Description (optional);You are designated as a human being for the destiny to become One. It is a very long, lonely road. Nobody else can travel on it with you, match up with you, understand you or be with you, because you are very special, made by the One in the image of One’s own self. For convenience, you call it “God.” |Yogi Bhajan|31865;Te ha sido designado como ser humano el destino de volverte Uno. Es un camino muy largo y solitario. Nadie puede viajar contigo, alcanzarte, comprenderte o estar contigo, porque eres muy especial, hecho del Uno a su misma imagen. Por conveniencia, tu lo llamas «Dios.» |Yogi Bhajan|31865;"Voi siete designati, in quanto esseri umani, al destino di diventare Uno. Si tratta di una strada molto lunga e solitaria. Nessun altro può viaggiare lungo essa con voi, affiancarsi a voi, capire voi o essere con voi, perché voi siete molto speciali, fatti dall'Uno a immagine di Sé. Per comodità, lo chiamate ""Dio"".|Yogi Bhajan|31865";;;
Quote92;Text;Description (optional);We have to draw the line. Are we committed to the truth? And do we want to give ourselves a try this way? And do we want to realize during this lifetime the basic truth for which we have come on this Earth? Or do we just want to do what an ignorant man wants to do? One way is to live consciously. One way is to live unconsciously. Both ways are living.|Yogi Bhajan|26833;Debemos marcar la linea. ¿Estamos comprometidos con la verdad? ¿Queremos darnos a nosotros mismos esta oportunidad? ¿Queremos hacernos conscientes en esta vida de la verdad mas básica del porque hemos venido a esta Tierra? ¿O es que solamente queremos hacer lo que un hombre ignorante quiere hacer?  Un camino es vivir conscientemente. Otro camino es vivir inconscientemente. Ambos son caminos de vida.|Yogi Bhajan|26833;Noi dobbiamo tracciare la linea. Siamo impegnati rispetto alla verità? E vogliamo dare a noi stessi una possibilità in questo senso? E vogliamo realizzare in questa vita la verità fondamentale per la quale siamo venuti su questa Terra? O vogliamo solo fare ciò che un uomo ignorante vuol fare? Un modo è quello di vivere consapevolmente. Un modo è quello di vivere inconsapevolmente. In entrambi i modi si può vivere.|Yogi Bhajan|26833;;;
Quote93;Text;Description (optional);Sometimes you have tons of money and still you are miserable, you are not satisfied. The bow of gratitude and arrow of mercy will give you everything. Gratitude will turn your attitude into mercy, mercy will bring you dharma, and dharma will give you solid prosperity. |Yogi Bhajan|36781;A veces tienes montones de dinero y aun así eres miserable, no estas satisfecho. El arco de la gratitud y la flecha de la misericordia te lo darán todo. La gratitud convertirá tu actitud en misericordia, la misericordia te dará dharma, y el dharma te dará una prosperidad solida. 9/12/00|Yogi Bhajan|36781;A volte avete un sacco di soldi eppure siete tristi, non siete soddisfatti. L'arco di gratitudine e la freccia di misericordia vi daranno tutto. La gratitudine trasformerà il vostro atteggiamento in misericordia, la misericordia vi porterà dharma, e il dharma vi darà la solida prosperità.|Yogi Bhajan|36781;;;
Quote94;Text;Description (optional);"It is a self-catering process, it is a self-disciplining process, it is a self-meditation into the total activity. If we never learn in our lives to break our patterns of life for ten days, we will never learn to live happy. It’s a fundamental necessity; it is a must of the human life. |Yogi Bhajan|26833";Es un proceso de abastecimiento propio, es un proceso de auto-disciplina, es una meditación de uno mismo dentro de la actividad total. Si nunca aprendemos en la vida a romper nuestros patrones durante diez días, nunca aprenderemos a vivir felices. Es una necesidad fundamental. Es un deber en la vida humana.|Yogi Bhajan|26833;"Si tratta di un processo di autonutrimento, è un processo di autodisciplina, è un automeditazione nell'attività totale. Se non impariamo mai nelle nostre vite a rompere i nostri schemi di vita per dieci giorni, non riusciremo mai a imparare a vivere felici. Si tratta di una necessità fondamentale; è un elemento imprescindibile della vita umana. |Yogi Bhajan|26833";;;
Quote95;Text;Description (optional);Communication is a science and an art. Speak and answer if it boils down to that. But normally two people should just communicate by their presence. When presence doesn’t work, communication is a last resort to bring peace. Spirituality belongs to those who understand the science of anaadee naad, unknown sound. -KRI Conscious Communication Manual|Yogi Bhajan|;La comunicación es una ciencia y un arte. Habla y contesta si a eso se reduce. Pero normalmente dos personas deberían poder comunicarse con su sola presencia. Cuando la presencia no funciona, la comunicación es el ultimo recurso para traer la paz. La espiritualidad pertenece a aquellos que comprenden la ciencia de anaadee naad, el sonido desconocido. -KRI Manual de Comunicación Consciente|Yogi Bhajan|;"La comunicazione è una scienza e un'arte. Parlate e rispondete se volete ridurlo a questo. Ma normalmente due persone dovrebbero semplicemente comunicare con la loro presenza. Quando la presenza non funziona, la comunicazione è l'ultima risorsa per portare la pace. La spiritualità appartiene a coloro che capiscono la scienza della ""Anaadee Naad"", il suono sconosciuto. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|";;;
Quote96;Text;Description (optional);Seva, a service of giving without thinking of result, is a very simple thing. It makes you a leader whether you are or not - whether you deserve to be or not. And it brings you opportunities, prosperities, and all the goods, and God, and goodies of the Universe. |Yogi Bhajan|32618;El Seva, el servicio de dar sin pensar en el resultado, es algo muy sencillo. Te convierte en un líder sin importar si lo eres o no – si lo mereces o no. Y te brinda oportunidades, prosperidad, y todos los beneficios de Dios y los bienes del Universo.|Yogi Bhajan|32618;Seva, un servizio di dare senza pensare al risultato, è una cosa molto semplice.  Vi rende leader, che lo siate o meno, che meritiate di esserlo o meno. E vi porta le opportunità, la prosperità e tutti i beni, Dio e le bontà dell'Universo. |Yogi Bhajan|32618;;;
Quote97;Text;Description (optional);If nobility is ever precious to a person, that person will never, ever put himself or herself down the tube for any reason, for any argument, concept, thought, or feeling whatsoever.|Yogi Bhajan|28673;Si para una persona la nobleza es algo precioso, esa persona nunca, jamas se rebajara a si misma por ninguna razón, argumento, concepto, pensamiento, o sentimiento. |Yogi Bhajan|28673;Se la nobiltà è sempre preziosa per una persona, quella persona non sarà mai, mai annientata da nessun motivo, da nessun litigio, concetto, pensiero o sensazione di sorta. |Yogi Bhajan|28673;;;
Quote98;Text;Description (optional);This path belongs to those who are not cold, whose hearts have not become stone, and whose heads have not become so swollen that they can’t hear the voice of the soul. This path will belong to those who, with all their strengths and weaknesses, will still serve others. |Yogi Bhajan|34122;Este camino pertenece a aquellos que no son fríos, aquellos cuyos corazones no se han vuelto de piedra y cuyas cabezas no se han hinchado al punto de que no poder escuchar la voz del alma. Este camino pertenecerá a aquellos que, con todas sus fortalezas y debilidades, brindan servicio a los demás.|Yogi Bhajan|34122;Questo cammino appartiene a coloro che non sono freddi, i cui cuori non sono diventati di pietra e le cui teste non sono diventate così gonfie da non potere sentire la voce dell'anima. Questo cammino apparterrà a coloro che, con tutti i loro punti di forza e con le loro debolezze, serviranno comunque gli altri. |Yogi Bhajan|34122;;;
Quote99;Text;Description (optional);You are the soul consciousness of God. Try to understand and realize your basic value. These values will become virtues. Virtues will bring you a lot of opportunities. Opportunities will bring you peace, and the story of success will begin. You will expand.|Yogi Bhajan|37661;Eres la consciencia del alma de Dios. Intenta entender y darte cuenta de tu valor fundamental. Estos valores se convertirán en virtudes. Las virtudes te traerán muchas oportunidades. Las oportunidades te darán paz, y el camino del éxito comenzara. Te expandirás.|Yogi Bhajan|37661;Voi siete la coscienza dell'anima di Dio. Cercate di comprendere e realizzare il vostro valore base. Questi valori diventeranno virtù. Le virtù vi porteranno un sacco di opportunità. Le opportunità vi porteranno la pace, e la storia di successo avrà inizio. Voi vi espanderete.|Yogi Bhajan|37661;;;
