Key;Type;Desc;Author;Date;English;Spanish;Italian;German;Portuguese;French
11;Text;;Yogi Bhajan;31/12/1997;May you all live to be better, more beautiful, and more bountiful than me, and may you drop your baggage of ugliness which you brought from previous karmas. May you understand that man is as small as man acts small, and man is as huge, vast, and big as he acts. Those who are selfish will never find the self. Those who are selfless, they will find God.;Ojalá todos ustedes vivan para ser mejores, más bellos, y más generosos que yo, y que puedan soltar su carga de fealdad que traen de karmas anteriores.  Que puedan entender que el hombre es tan pequeño así como actúe pequeño, y el hombre as tan gigante, vasto y grande así como actúe.  Aquellos que son egoístas nunca encontrarán al ser.  Aquellos que son desinteresados, ellos encontrarán a Dios.;;Möget ihr alle so leben, dass ihr besser, schöner und in größerer Fülle lebt als ich. Mögt ihr alle hässliche karmische Fracht aus früheren Leben abwerfen. Mögt ihr alle verstehen, dass der Mensch so klein ist, wie er handelt und dass er so groß, weit und erhaben ist, wie er handelt. Wer selbstsüchtig ist, wird sein Selbst niemals finden. Wer selbstlos ist, wird Gott finden.;Que todos vocês possam viver para serem melhor, mais bonitos, e mais abundantes do que eu, e que possam deixar sua bagagem de feiúras que trouxeram de karmas anteriores. Que possam entender que o homem é tão pequeno quanto os seus pequenos atos, e o homem é imenso, vasto e grande quanto ele age. Aqueles que são egoístas nunca encontrarão o ser. Aqueles que são abnegados, encontrarão Deus. ;Pouvez-vous vivre tous, meilleur, plus beau et plus généreux que moi et pouvez-vous abandonner le fardeau de laideur que vous avez apporté de vos précédents karmas. Pouvez-vous comprendre que l’homme est petit quand ses actes sont petits et que l’homme est immense, vaste et grandiose quand il agit avec grandeur. Ceux qui sont égoïstes ne se trouveront jamais. Ceux qui sont désintéressés trouveront Dieu. 
12;Text;;Yogi Bhajan;13/2/1995;You can learn to imagine, and you can learn to facilitate yourself into fantasies and you can learn to be a healer, a teacher or anything, but basically you have to do one kindness to yourself: you have to be you. If you are you, then everything that comes to you will fit in. If you are not you, then anything that comes to you or around you is going to cause some friction. ;Puedes aprender a imaginar, y puedes aprender a dejarte llevar por fantasías y puedes aprender a ser un sanador, un profesor o cualquier cosa, pero básicamente tienes que hacerte una bondad a ti mismo:  tienes que ser tú.  Si tú eres tú, entonces todo lo que venga hacia ti va a calzar.  Si tu no eres tú, entonces cualquier cosa que venga hacia ti o a tu alrededor va a causar alguna fricción.;;Du kannst lernen, dir ein Leben auszumalen, du kannst lernen, dich in deinen eigenen Phantasien aufzuhalten, oder du kannst lernen ein/e Heiler/in, eine/e Lehrer/in oder irgenetwas anderes zu sein, aber grundsätzlich musst du freundlich mit dir umgehn, du musst du selbst bleiben. Solange du du selbst bist, wird sich alles andere leicht da hineinfügen. Wenn du nicht du selbst bist, wird alles, was dir begegnet, oder was dich umgibt, einen Bruch in dir hervorrufen.;Você pode aprender a imaginar, você pode facilitar a si mesmo em fantasias e você pode aprender a ser curador, um professor ou qualquer coisa, mas basicamente você tem que fazer um bem para você: você tem que ser você. Se você for você, então tudo que vier se encaixará. Se você não for você, então tudo que vier até você ou ao seu redor causará algum atrito. ;Vous pouvez apprendre à imaginer et à vous faciliter la vie en fantaisies, vous pouvez apprendre à être un guérisseur, un enseignant ou autre chose, mais premièrement vous devez avoir une gentillesse envers vous-même : vous devez être vous. Si vous êtes vous-même, alors tout ce qui viendra à vous sera adapté. Si vous n’êtes pas vous-même, alors tout ce qui viendra à vous causera de la friction. 
13;Text;;Yogi Bhajan;1/2/1995;Just for an hour, sit in the tub, turn on the shower and let the blessings of lukewarm water shower over you. The entire fatigue from the body will be gone and you will start losing weight. You will eat less and you will sleep better. You will become a very kind, compassionate person. Your attitude will change. Your inherited anger will leave you. It’s amazing what hydrotherapy can do for a human. ;Sólo por una hora, siéntate en la tina, echa a correr la ducha y permite que las bendiciones del agua tibia caigan sobre ti.  Toda la fatiga del cuerpo se irá y comenzarás a perder peso.  Comerás menos y dormirás mejor.  Te volverás una persona muy dulce y compasiva.  Tu actitud cambiará.  Tu enojo heredado te abandonará.  Es impresionante lo que la hidroterapia puede hacer por un humano.;;Mach es `mal eine Stunde lang: Setze dich in die Badewanne, mach die Dusche an und lass den Segen von handwarmen Wasser auf dich regnen. Die gesamte Müdigkeit deines Körpers wird verschwinden und du wirst anfangen abzunehmen. Du wirst weniger essen und besser schlafen. Du wirst mitfühlend und freundlich werden. Deine Einstellung wird sich verändern. Tief in dir eingegrabener Ärger wird verschwinden. Es ist unglaublich, was die Wassertherapie alles für den Menschen tun kann.;Somente por uma hora, sente-se no banho, ligue o chuveiro e deixe as bênçãos do banho de água morna sobre você. Toda a fadiga do corpo terá ido e você começará a perder peso. Você comerá menos e dormirá melhor. Você se tornará uma pessoa compassiva, muito bondosa. Sua atitude irá mudar. Sua raiva herdada lhe deixará. É surpreendente o que a hidroterapia pode fazer por um humano. ;Durant une heure, asseyiez-vous dans la baignoire, faites couler la douche et laissez cette eau tiède couler sur vous comme des bénédictions. Toute la fatigue du corps partira et vous commencerez à perdre du poids. Vous mangerez moins et dormirez mieux. Vous deviendrez une personne aimable et compatissante. Votre attitude changera. L’héritage de votre colère s’en ira. C’est étonnant ce que l’hydrothérapie peut faire pour un être humain. 
14;Text;;Yogi Bhajan;4/7-8/83;You are the truth. Whenever you speak the truth with an open heart, it is the key to the heart of every person. ;Tú eres la verdad.  Cuando sea que hables la verdad con un corazón abierto, esa es la llave para el corazón de todas las personas.;;Du bist Wahrheit. Sprichst du Wahrheit mit offenem Herzen, hast du den Schlüssel zum Herzen eines jeden Menschen.;Você é a verdade. Falar a verdade com o coração aberto, é a chave para o coração de todas as pessoas. ;Vous êtes la vérité. Toutes les fois que vous parlez vrai avec le cœur ouvert, c’est la clé du cœur de chacun. 
15;Text;;Yogi Bhajan;8/3/1995;Whenever you mentally expand, you save yourself trouble, but when you mentally contract, you will trouble yourself. When you become vast, your troubles become zero. When you become little, your troubles become big and you become small. ;Cuando sea que te expandes mentalmente, te ahorras problemas, pero cuando te contraes mentalmente, te aproblemas a ti mismo.  Cuando te vuelves vasto, tus problemas quedan en cero.  Cuando te vuelves pequeño, tus problemas se vuelven grandes y tú te vuelves chico.;;Wenn du dich gedanklich ausdehnst, wirst du dir Sorgen ersparen. Aber wenn du dich gedanklich einschränkst, wirst du dir Sorgen bereiten. Wenn du weit wirst, lösen sich deine Sorgen auf. Wenn du klein wirst, werden deine Sorgen groß und du schrumpfst.;Sempre que você se expande mentalmente, salva a si mesmo de problemas, mas quando você se contrai mentalmente, causará problemas a si mesmo. Quando você se torna vasto, seus problemas irão se tornar zero. Quando você se torna pouco, seus problemas tornam-se grandes e você se torna pequeno. ;Toutes les fois que vous grandissez mentalement, vous vous évitez des ennuis, mais quand mentalement vous vous contractez, vous vous créez des ennuis. Quand mentalement vous êtes vaste, vos ennuis se réduisent à zéro. Quand mentalement vous êtes petit, vous ennuis deviennent grands et vous devenez petit. 
16;Text;;Yogi Bhajan;20/1/1999;You don’t have clear guidance. ‘Is it good for me or not?’ Everything you assess is based on advantage and disadvantage. ‘Now? Never? Should we? May we? Can I?’ If you are simple and there is only one thought: ‘I am very, very graceful and God will guide me,’ that will replace all thoughts. You job will be done, you will be fulfilled, and you will see clearly. ;Ustedes no tienen una guía clara.  ‘¿Será bueno para mi o no?’  Todo lo que evalúas se basa en ventaja y desventaja.  ‘¿Ahora?  ¿Nunca?  ¿Debiéramos?  ¿Podremos?  ¿Puedo?’  si es que eres simple y sólo hay un pensamiento:  ‘Yo soy muy, muy agraciado, y Dios me guiará,’ eso reemplazará todos los pensamientos.  Tu trabajo estará hecho, estarás satisfecho, y verás claramente.;;Uns fehlt die klare Führung im Leben. Wir wissen nicht: ”Ist das gut für mich oder nicht?“ Wir schätzen Dinge ein, ob sie uns Vorteile oder Nachteile bringen. “Jetzt oder nie?” “ Darf ich das?” “Kann ich das?” „Sollte ich das tun?” Vereinfache es dir doch, dann bleibt nur noch ein Gedanke: ”Ich ruhe tief in meiner Anmut und Würde und Gott wird mich führen.” Das wird alle Gedanken ersetzen. Wir haben ausgesorgt, sind erfüllt und sehen klar.;Você não tem orientação clara. ‘Isso é bom para mim ou não?’ Tudo o que acessa está baseado na vantagem e desvantagem. ‘Agora? Nunca? Nós devemos? Nós podemos? Eu posso?’ Se você é simples e há um só pensamento: ‘Eu sou muito, muito gracioso e a vontade de Deus irá guiar-me, ’ isso substituirá todos os pensamentos. Seu trabalho será feito, você será realizado e verá claramente.  ;Vous ne vous guider pas clairement. « C’est bon pour moi ou non ? » Toutes vos évaluations sont basées sur avantage et désavantage. “ Maintenant ? Jamais? Dois-je? Puis-je? Je peux?” Si vous êtes simple et n’avez qu’une seule pensée: « Je suis très, très reconnaissante et Dieu me guidera », cela remplacera toutes les pensées. Votre travail sera fait, vous serez accompli et verrez clairement. 
17;Text;;Yogi Bhajan;21/9/1991;"Create a relationship with God inside you. Hug Him, bug Him, abuse Him, praise Him, fight with Him, ask Him, deny Him. But do it consciously; not as a ritual but exactly as a reality.";Crea una relación con Dios dentro de ti.  Abrázalo, moléstalo, abúsalo, alábalo, pelea con Él, pídele, niégalo. Pero hazlo conscientemente, no como un ritual, sino exactamente como una realidad.;;Bilde in dir eine Beziehung zu Gott. Umarme ihn, nerve ihn, provoziere ihn, lobe ihn, kämpfe mit ihm, befrage ihn, verleugne ihn. Tue es bewußt, nicht als Ritual, wirklich.;"Crie um relacionamento com deus dentro de você. Abrace-O, aborreça-O, abuse Dele, louve-O, brigue com Ele, peça-Lhe, negue-O. Mas faça isso conscientemente; não como um ritual, mas exatamente como uma realidade. ";"Créez une relation avec Dieu à l’intérieur de vous-même. Étreignez-le, asticotez-le, abusez de lui, priez-le, bataillez avec lui, consultez-le, niez-le. Mais faites-le consciemment; pas comme un rituel mais exactement comme une réalité. "
18;Text;;Yogi Bhajan;1/2/1995;If you can’t control your own mind, you can’t control a thing. As a matter of rule, those who cannot rule their own mind are always in pain. ;Si tú no puedes controlar tu propia mente, no puedes controlar nada.  Como regla general, aquellos que no pueden gobernar su mente están siempre en dolor.;;Wenn du deinen eigenen Geist nicht kontrollieren kannst, kannst du gar nichts kontrollieren. Wenn du über deinen Geist nicht die Herrschaft erringst, wirst du immer wieder Schwierigkeiten haben.;Se você não pode controlar sua própria mente, você não controla nada. É uma questão de regra, aqueles que não conseguem controlar sua própria mente estão sempre em sofrimento.;Si vous ne pouvez pas contrôler votre propre mental, vous ne pouvez rien contrôler. C’est une règle, ceux qui ne peuvent pas commander leur propre mental sont toujours en souffrance. 
19;Text;;Yogi Bhajan;20/9/1990;Dualities, and polarities, and circumstances will continue, and there is one thing to know about it: it is always God and it is always divine. That is the spirit of the human and the spiritual relationship with the Mother Earth and Heavenly Father. That is why man builds temples. That is why we made ashrams. It is our honor, our spirit, it is a situation in our soul. ;Las dualidades, y polaridades, y circunstancias continuarán, y hay una cosa que saber al respecto:  siempre se trata de Dios y siempre es divino.  Ese es el espíritu del humano y la relación espiritual con la Madre Tierra y el Padre Celestial.  Es por eso que los hombres construyen templos.  Es por eso que hicimos ashrams.  Es nuestro honor, nuestro espíritu, es una situación en nuestra alma.;;Verschiedenartigkeiten und Gegensätze werden auch weiter bestehen und du musst eines dazu wissen: Es ist immer um Gott und es ist immer heilig. Das ist der Geist der Menschen in seiner spirituellen Beziehung zu Mutter Erde und zum himmlischen Vater. Deswegen gründen wir Ashrams. Es ist unsere Würde, unser Spirit, es ist der Grund unserer Seele.;Dualidade, polaridades e circunstâncias continuarão e existe algo a saber sobre isso: é sempre Deus e é sempre divino. Isso é o espírito humano e o relacionamento espiritual com a Mãe Terra e o Pai Celestial. È por isso que o homem constrói templos. É por isso que fazemos ashrams. É nossa honra, nosso espírito e a condição da nossa alma. ;Dualités, polarités et circonstances continueront et il y a une chose à savoir à ce propos, c’est toujours Dieu et c’est toujours divin. C’est l’esprit de l’être humain et de la relation spirituelle avec la Mère Nature et le Père Céleste. C’est pourquoi l’homme construit des temples. C’est pourquoi nous faisons des ashrams. C’est notre honneur, notre conscience, c’est un état dans notre âme. 
20;Text;;Yogi Bhajan;15/3/1995;Blessed is the soul which starts from Infinity the journey into the finite, and passes through the opaqueness of the cause and effect to merge back into the Infinity of the Unknown. Blessed are the care and the consciousness which give us the power to see, to serve, to love through kindness and compassion. May we live in love and peace, and respect the God given grace forever. Sat Nam. ;Bendita sea el alma que parte del Infinito el viaje hacia el finito, y pasa a través de la opacidad de la causa y el efecto para volver a fundirse con el Infinito de lo Desconocido.  Benditos sean el cuidado y la conciencia que nos dan el poder de ver, de servir, de amar a través de la amabilidad y la compasión.  Ojalá podamos vivir en el amor y en la paz, y respetar al Dios dado por siempre en gracia.  Sat Nam;;Gesegnet ist die Seele, die aus der Unendlichkeit die Reise in die endliche Welt antritt, die sie durch das trübe Dunkel von Ursache und Wirkung führt, um wieder eins zu werden im unendlichen Reich des Unbekannten. Gesegnet sind das Mitgefühl und das Bewusstsein, das uns befähigt zu sehen, zu dienen und unsere Liebe in Freundlichkeit und Mitgefühl zu verwirklichen. Mögen wir in Liebe und Frieden leben und voller Respekt gegenüber der uns von Gott verliehenen Anmut. Sat Nam.;Abençoada é a alma que começa a partir do Infinito a jornada para o finito e passa através das trevas da causa e efeito para se fundir de volta no Infinito do Desconhecido. Abençoados são o cuidado e a consciência que nos dão o poder de ver, servir e amar através da bondade e da compaixão. Que nós possamos viver em amor e paz e respeitar a graça de Deus para sempre. Sat Nam.;Bénie est l’âme qui commence sa journée depuis l’infini vers le fini et qui traverse l’opacité de la cause et de l’effet pour fusionner à nouveau vers l’inconnu infini. Bénie est l’attention et la conscience qui nous donnent le pouvoir de voir, de servir, d’aimer avec bonté et compassion. Puissions-nous vivre dans l’amour et en paix avec le respect de la grâce de Dieu pour toujours. Sat Nam.   
21;Text;;Yogi Bhajan;21/2/1978;Every body has a capacity and every mind has a frequency. You have to bring those two together and find out who you are. That’s the easiest way to live happily. ;Cada cuerpo tiene una capacidad y cada mente tiene una frecuencia.  Tienes que juntar a estos dos y descubrir quién eres.  Esa es la forma más fácil de vivir feliz.;;Jeder Körper hat ein Potential und jeder Geist hat eine Schwingung. Du musst beide zusammenbringen und herausfinden, wer du bist. Das ist die einfachste Weise, um glücklich zu leben.;Todo corpo tem uma capacidade e toda mente tem uma freqüência. Você deve trazer os dois juntos e encontrar quem você é. Está é a maneira mais fácil de viver feliz. ;Chaque corps a une capacité et chaque mental a une fréquence. Vous devez réunir les deux afin de découvrir qui vous êtes. C’est la manière la plus facile de vivre heureux. 2/21/78
22;Text;;Yogi Bhajan;21/9/1991;If you have not recognized that you are made in God, recognize it today. Believe it, trust it, and be it. Your life will change, your environments will change. Prosperity and opportunity will come to you. ;Si tú no has reconocido que eres hecho en Dios, reconócelo hoy.  Cree en eso, confía en eso, sé eso.  Tu vida cambiará, tus entornos cambiarán.  La prosperidad y la oportunidad vendrán hacia ti.;;Wenn du bisher nicht wahrgenommen hast, dass du von Gott erschaffen wurdest, nimm es heute wahr. Vertraue darauf, glaube daran und fühle dich hinein. Dein Leben wird sich ändern, deine Umgebung wird sich ändern. Glückliche Situationen und Wohlstand werden zu dir kommen.;Se você ainda não reconheceu Deus em você reconheça agora. Acredite nisso, confie nisso, seja isso. Sua vida e seu ambiente mudarão. Prosperidade e oportunidade virão até você. ;Si vous n’avez pas reconnu que vous êtes créé par Dieu, reconnaissez-le aujourd’hui. Croyez-le, ayez confiance et soyez-le. Votre vie va changer, votre environnement va changer. Prospérité et opportunité viendront à vous. 
23;Text;;Yogi Bhajan;21/2/1978;We have to learn to win each other through action. We can’t convince each other through logic, reason and arguments, and get away with our weaknesses. If we take the attitude that we will show how great we are through actions, our life will be very smooth and happy. ;Tenemos que prender a ganarnos los unos a los otros a través de la acción.  No podemos convencernos los unos a los otros a través de la lógica, la razón y argumentos, y salirnos con nuestras debilidades.  Si tomamos la actitud de que mostraremos lo grandes que somos a través de las acciones, nuestra vida será muy suave y feliz.;;Wir müssen lernen, uns durch das, was wir tun, füreinander einzunehmen. Mit Logik, Argumentieren und Diskutieren können wir uns nicht überzeugen und verstecken uns hinter unseren Schwächen. Wenn wir es uns zur Gewohnheit machen, unsere eigentliche Größe mit dem, was wir tun, zum Ausdruck zu bringen, wird unser Leben sehr angenehm und glücklich werden.;Nós temos que aprender a vencer um ao outro pela ação. Nós não conseguimos convencer o outro pela lógica, razão e argumentos e afastar nossas fraquezas. Se nós tomarmos a atitude que mostrará o quão grande somos através de nossas ações, nossa vida será muito suave e feliz.  ;Nous devons apprendre à nous conquérir l’un l’autre à travers nos actions. Nous ne pouvons pas nous convaincre l’un l’autre avec la logique, la raison et les arguments et partir avec nos faiblesses. Si nous prenons l’attitude de montrer que nous sommes remarquables par nos actions, notre vie sera douce et heureuse. 
24;Text;;Yogi Bhajan;10/4/1998;It’s not enough to be a saint. That was the Piscean age. In the Age of Aquarius you have to make everybody you touch, see and feel be a saint. You become the forklift. ;No es suficiente ser un santo.  Eso fue en la era de Piscis.  En la Era de Acuario tienes que hacer que todos a quienes toques, mires y sientas sea un santo.  Tú te vuelves el monta carga.;;Es reicht nicht, ein Heiliger zu sein. Das mochte im Fischezeitalter ausreichen. Im Wassermannzeitalter musst du jeden, den du berührst, siehst oder fühlst zu einem Heiligen machen. Du wirst zum Uplifter der Seelen.;Não é suficiente ser um santo. Isso foi a Era de Peixes. Na Era de Aquário você tem que fazer todo mundo que você toca, vê e sente ser um santo.  Você se torna uma alavanca.;Ce n’est pas suffisant d’être un saint. C’était à l’âge du poisson. À l’âge du verseau vous devez faire voir et ressentir à tout le monde par votre touche qu’ils sont saints. Vous devenez le cariste
25;Text;;Yogi Bhajan;1/2/1995;The first main principle is: do you love? Do you love to live? And if you love to live, are you grateful for every breath of life?  There are two words in ‘grateful.’ Great and full. ;El primer y principal principio es:  ¿Tú amas?  ¿Tú amas vivir?  Y si tú amas vivir, ¿estás agradecido por cada respiración de vida?  Hay dos palabras en agradecido (en inglés gratefull).  Great, Grandioso, y full, lleno.  ;;Was du zuallererst haben musst, ist Liebe. Liebst du das Leben? Bist du dankbar für jeden Atemzug, für den Lebensatem? Dankbar sein erfordert Größe und vollkommene Annahme. ;O primeiro princípio fundamental é: você ama? Você ama viver? E se você ama viver, você é grato por cada respiração de vida? Existem duas palavras em “grateful”.grat-grato e ful-pleno”. ;Le tout premier principe est : aimez-vous? Aimez-vous vivre? Et si vous aimez vivre, êtes-vous reconnaissant (grateful) pour chaque souffle de la vie? Il y a deux mots dans « grateful – ‘great’ = grand - et - ‘full’ =  plein » 
